procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 52720800 260112 6549520    0    0     0    18 4889 6124  3  1 77 19  0  0
 2  4      0 52580112 260112 6550416    0    0     0    44 15923 24758  6  2 67 25  0  0
 1  4      0 52652368 260112 6551232    0    0     0     0 11598 18452  3  1 70 25  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  4      0 52675984 260112 6551248    0    0     0    10 5001 6492  2  1 68 29  0  0
 0  4      0 52702000 260112 6551264    0    0     0     0 3359 3996  2  1 69 29  0  0
 1  2      0 52936992 260112 6551344    0    0     0     0 4414 5470  2  1 69 29  0  0
 1  2      0 52939776 260112 6551360    0    0     0   178 4278 5315  2  1 78 20  0  0
 1  2      0 52946480 260112 6551376    0    0     0    10 3419 4062  2  1 78 20  0  0
 0  2      0 52946736 260112 6551392    0    0     0     0 3892 4792  2  1 78 20  0  0
 1  2      0 52946496 260112 6551424    0    0     0    16 4356 5232  2  1 78 20  0  0
 2  2      0 52942224 260112 6551456    0    0     0   544 5326 6497  3  1 78 19  0  0
 1  2      0 52930240 260112 6551488    0    0     0     0 7029 9333  3  1 78 18  0  0
 1  2      0 52932576 260112 6551488    0    0     0   106 6198 7711  3  1 80 16  0  0
 1  2      0 52932576 260112 6551504    0    0     0     0 4674 5887  2  1 77 20  0  0
 1  2      0 52932576 260112 6551504    0    0     0     0 3561 4352  2  1 78 20  0  0
 1  2      0 52956832 260112 6551504    0    0     0  7364 2871 3302  2  1 78 20  0  0
 1  2      0 52956832 260112 6551504    0    0     0     0 3318 3909  2  1 78 20  0  0
 1  2      0 52956832 260112 6551520    0    0     0    44 2913 3467  2  0 78 20  0  0
 1  2      0 52956832 260112 6551536    0    0     0    20 3855 4783  2  1 77 20  0  0
 1  2      0 52954672 260112 6551552    0    0     0     0 5476 6797  3  1 76 19  0  0
 1  2      0 52953712 260112 6551552    0    0     0    30 2786 3225  1  0 79 19  0  0
 3  3      0 52794528 260112 6551616    0    0     0     0 6877 8728  4  1 75 21  0  0
 1  4      0 52635488 260112 6551616    0    0     0    70 6760 9311  3  1 58 37  0  0
 1  4      0 52646320 260112 6551632    0    0     0    10 4598 5620  2  1 59 38  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 52657200 260112 6551632    0    0     0     0 4721 5787  2  1 59 38  0  0
 1  4      0 52663600 260112 6551632    0    0     0     0 5543 6755  3  1 57 39  0  0
 1  2      0 52934848 260112 6545184    0    0     0    12 6568 8405  3  1 67 29  0  0
 1  2      0 52939312 260112 6545200    0    0     0     0 4442 5404  2  1 78 20  0  0
 2  2      0 52939680 260112 6545200    0    0     0    22 4369 5374  2  1 78 20  0  0
 1  2      0 52939680 260112 6545200    0    0     0   642 4887 6249  2  1 78 19  0  0
 1  2      0 52939680 260112 6545216    0    0     0     0 4363 5341  2  1 77 20  0  0
 2  3      0 52841872 260112 6545232    0    0     0     0 6892 8863  4  1 73 22  0  0
 3  4      0 52770640 260112 6545232    0    0     0   110 6594 8656  3  1 67 29  0  0
 2  4      0 52767760 260128 6545248    0    0     0    64 5357 6789  2  1 68 29  0  0
 0  4      0 52781376 260128 6545264    0    0     0    40 6534 8259  3  1 67 29  0  0
 2  4      0 52782560 260128 6545280    0    0     0    26 5965 7263  3  1 68 29  0  0
 4  4      0 52776480 260128 6545280    0    0     0     0 5405 6561  3  1 68 28  0  0
 1  2      0 52985088 260128 6545280    0    0     0    22 5258 6685  2  1 78 19  0  0
 1  2      0 52985088 260128 6545296    0    0     0     0 5231 6559  2  1 77 20  0  0
 0  2      0 52985088 260128 6545312    0    0     0    76 4928 6132  2  1 78 19  0  0
 0  2      0 52984848 260128 6545312    0    0     0    10 5030 6286  2  1 79 18  0  0
 1  2      0 52984368 260128 6545312    0    0     0   576 7758 10018  3  1 77 19  0  0
 1  4      0 52708016 260128 6545328    0    0     0     0 11196 16671  6  1 65 28  0  0
 1  4      0 52704176 260128 6545296    0    0     0    20 5728 7054  2  1 66 31  0  0
 1  4      0 52704176 260128 6545312    0    0     0     0 4927 5955  2  1 68 29  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
